player_name,normalized_player_name,nationality,season,competition,club_raw,appearances,goals,minutes,age_in_season,position,assists,goals_plus_assists,goals_minus_pk,penalty_goals,penalty_attempts,starts,sub_appearances,nineties_played,player_uid,multi_club_key
Morgan Gibbs-White,morgan gibbs-white,eng ENG,2022/23,Premier League,2 Teams,37,5,3151,22,MF,8,13,3,2,2,36,1,35,morgan gibbs-white|eng eng|2000,morgan gibbs-white|2022/23
Moussa Sissoko,moussa sissoko,fr FRA,2021/22,Premier League,2 Teams,36,2,3220,31,MF,1,3,2,0,0,36,0,35.8,moussa sissoko|fr fra|1990,moussa sissoko|2021/22
Leandro Trossard,leandro trossard,be BEL,2022/23,Premier League,2 Teams,36,8,2246,27,FW,12,20,8,0,0,26,10,25,leandro trossard|be bel|1995,leandro trossard|2022/23
Rick Holden,rick holden,eng ENG,1993/94,Premier League,2 Teams,38,6,3301,28,MF,6,12,5,1,2,37,1,36.7,rick holden|eng eng|1965,rick holden|1993/94
Peter Beagrie,peter beagrie,eng ENG,1993/94,Premier League,2 Teams,38,5,3256,27,FW,7,12,,,,38,0,36.2,peter beagrie|eng eng|1966,peter beagrie|1993/94
Phil Babb,phil babb,ie IRL,1994/95,Premier League,2 Teams,37,0,3197,23,DF,1,1,0,0,0,36,1,35.5,phil babb|ie irl|1971,phil babb|1994/95
Emerson Thome,emerson thome,br BRA,1999/00,Premier League,2 Teams,37,0,3141,27,DF,1,1,0,0,0,34,3,34.9,emerson thome|br bra|1972,emerson thome|1999/00
Jeff Kenna,jeff kenna,ie IRL,1994/95,Premier League,2 Teams,37,1,3290,23,DF,5,6,,,,37,0,36.6,jeff kenna|ie irl|1971,jeff kenna|1994/95
Terry Phelan,terry phelan,ie IRL,1995/96,Premier League,2 Teams,21,0,1840,28,DF,1,1,,,,21,0,20.4,terry phelan|ie irl|1967,terry phelan|1995/96
Colin Calderwood,colin calderwood,sct SCO,1998/99,Premier League,2 Teams,20,0,1631,33,DF,0,0,0,0,0,19,1,18.1,colin calderwood|sct sco|1965,colin calderwood|1998/99
Duncan Ferguson,duncan ferguson,sct SCO,1998/99,Premier League,2 Teams,20,6,1686,26,FW,0,6,,,,20,0,18.7,duncan ferguson|sct sco|1972,duncan ferguson|1998/99
Anders Limpar,anders limpar,se SWE,1993/94,Premier League,2 Teams,19,0,1553,27,MF,3,3,0,0,0,18,1,17.3,anders limpar|se swe|1966,anders limpar|1993/94
Paolo Di Canio,paolo di canio,it ITA,1998/99,Premier League,2 Teams,19,7,1526,30,FW,2,9,7,0,0,17,2,17,paolo di canio|it ita|1968,paolo di canio|1998/99
Andy Sinton,andy sinton,eng ENG,1995/96,Premier League,2 Teams,19,0,1383,29,MF,1,1,,,,15,4,15.4,andy sinton|eng eng|1966,andy sinton|1995/96
